
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-05 18:22:36 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:36 /frames/cam_1.jpg?t=1775391756359 ........................................................ ~ 1s
  2026-04-05 18:22:37 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:37 /frames/cam_1.jpg?t=1775391757368 ........................................................ ~ 1s
  2026-04-05 18:22:39 /frames/cam_1.jpg?t=1775391758359 .................................................... ~ 3.96ms
  2026-04-05 18:22:39 /frames/cam_1.jpg?t=1775391759372 .................................................... ~ 1.28ms
  2026-04-05 18:22:40 /frames/cam_1.jpg?t=1775391760371 .................................................... ~ 0.86ms
  2026-04-05 18:22:40 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:41 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:22:43 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:41 /frames/cam_1.jpg?t=1775391761368 ........................................................ ~ 2s
  2026-04-05 18:22:44 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:43 /frames/cam_1.jpg?t=1775391762369 ........................................................ ~ 2s
  2026-04-05 18:22:44 /api/internal/alert ...................................................................... ~ 2s
  2026-04-05 18:22:44 /frames/cam_1.jpg?t=1775391763364 ........................................................ ~ 2s
  2026-04-05 18:22:45 /frames/cam_1.jpg?t=1775391764369 ........................................................ ~ 1s
  2026-04-05 18:22:46 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:46 /frames/cam_1.jpg?t=1775391765364 ........................................................ ~ 1s
  2026-04-05 18:22:46 /api/detections/report ................................................................... ~ 2s
  2026-04-05 18:22:46 /frames/cam_1.jpg?t=1775391766372 ........................................................ ~ 2s
  2026-04-05 18:22:47 /frames/cam_1.jpg?t=1775391767361 ........................................................ ~ 1s
  2026-04-05 18:22:49 /frames/cam_1.jpg?t=1775391768372 .................................................... ~ 4.14ms
  2026-04-05 18:22:49 /snapshots/cam_1_20260405_182243_889.jpg ............................................. ~ 1.17ms
  2026-04-05 18:22:49 /frames/cam_1.jpg?t=1775391769371 .................................................... ~ 0.54ms
  2026-04-05 18:22:49 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:50 /frames/cam_1.jpg?t=1775391770365 .................................................... ~ 0.53ms
  2026-04-05 18:22:51 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:22:51 /frames/cam_1.jpg?t=1775391771359 ........................................................ ~ 1s
  127.0.0.1:57898 [404]: GET /frames/cam_1.jpg?t=1775391772359 - No such file or directory
  2026-04-05 18:22:52 ...................................................................................... ~ 2.82ms
  2026-04-05 18:22:52 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:53 /frames/cam_1.jpg?t=1775391773368 .................................................... ~ 0.42ms
  2026-04-05 18:22:54 /frames/cam_1.jpg?t=1775391774367 .................................................... ~ 0.94ms
  2026-04-05 18:22:55 /api/detections/latest ............................................................. ~ 525.64ms
  2026-04-05 18:22:55 /frames/cam_1.jpg?t=1775391775359 .................................................. ~ 531.31ms
  2026-04-05 18:22:56 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:22:57 /api/detections/report ................................................................... ~ 1s
